date,name,price
2023-10-20,Gazole,1.899
2023-10-19,SP98,2.099
2023-10-20,SP98,1.999
2023-10-10,SP95,1.999
2023-10-20,Gazole,1.818
2023-10-17,SP95,1.845
2023-10-19,E10,1.969
2023-10-13,SP95,1.879
2023-10-20,Gazole,1.873
2023-10-20,E85,0.998
2023-10-19,Gazole,1.939
2023-10-19,SP98,1.825
2023-10-12,E85,0.998
2023-10-19,Gazole,1.899
2023-10-20,E85,1.012
2023-09-28,E85,0.998
2023-10-14,E85,1.032
2023-10-16,Gazole,1.857
2023-10-14,E10,1.829
2023-10-20,Gazole,1.827
2023-10-20,E10,1.725
2023-10-18,E10,1.836
2023-10-16,SP95,1.783
2023-10-20,SP98,1.99
2023-10-17,E10,1.799
2023-10-20,Gazole,1.977
2023-07-24,SP98,1.99
2023-10-08,Gazole,1.909
2023-10-12,SP95,1.979
2023-10-13,E10,1.843
2023-10-20,E10,1.769
2023-08-23,SP98,2.06
2023-10-06,Gazole,1.958
2023-10-17,E10,1.8
2023-10-20,SP95,1.784
2023-10-19,E10,1.827
2023-10-20,E85,1.079
2023-10-19,Gazole,1.867
2023-10-19,Gazole,2.039
2023-10-14,E10,1.799
2023-10-17,GPLc,1.083
2023-10-20,E85,1.259
2023-10-19,SP98,2.209
2023-10-13,Gazole,1.989
2023-10-19,SP98,2.229
2023-10-20,E10,1.915
2023-10-09,E10,1.759
2023-03-01,GPLc,1.088
2023-10-20,E10,1.933
2023-10-19,Gazole,2.289
2023-07-21,SP95,1.99
2023-10-19,Gazole,2.019
2023-10-17,SP95,1.789
2023-10-20,SP98,1.99
2023-10-19,E10,1.792
2023-10-16,SP98,1.862
2023-10-20,Gazole,1.809
2023-10-18,SP98,1.806
2023-09-19,Gazole,1.929
2023-09-12,Gazole,1.999
2023-10-12,E10,1.99
2023-10-19,E10,1.929
2023-10-19,SP95,1.752
2023-08-23,GPLc,1.0
2023-10-13,SP98,1.939
2023-10-20,SP95,1.806
2023-10-12,Gazole,1.943
2023-10-20,SP98,1.839
2023-10-19,Gazole,1.989
2023-10-03,SP95,1.945
2023-10-20,E10,1.777
2023-10-05,SP98,2.049
2023-10-19,E10,2.079
2023-10-19,Gazole,1.979
2023-10-19,Gazole,1.879
2023-10-18,SP95,1.761
2023-10-17,Gazole,1.859
2023-10-20,Gazole,1.949
2023-10-20,GPLc,1.054
2023-10-10,SP95,1.879
2023-10-19,SP98,1.892
2023-10-20,Gazole,2.124
2023-10-16,E10,1.879
2023-10-20,SP98,1.867
2023-10-20,SP95,1.799
2023-10-20,SP95,1.836
2023-10-19,SP98,1.889
2023-10-20,SP95,1.804
2023-10-20,SP98,1.83
2023-10-20,SP98,1.903
2023-10-19,SP98,2.19
2023-10-18,Gazole,1.849
2023-10-11,E85,0.999
2023-10-17,E10,1.902
2023-10-10,E10,1.871
2023-10-20,SP98,1.909
2023-10-16,Gazole,1.854
2023-10-18,Gazole,1.872
